"user_id","% of Hotel discount","Average Hotel Discount","% of Flight discount","Average Flight Discount","% of Trips Cancelled","Weekend Traveller","Above 55 ?","Has kids?","Long Distance Traveller","Conversion rate","Bags&gt;Seats","Length of trip","Frequent traveller","Long Term Planning","Average_dollarsaved_per_km","Flight_Conversion_Rate","User Age","Bag count"
"23557","0.25","0.17500000000000000000","0","0","0","0","1","0","0","0.25000000000000000000","0","0.000000000000000000000000","2","51.8333333333333333","0","0.00000000000000000000","64","0"
"94883","0.16666666666666666","0.10000000000000000000","0","0","0","0","0","0","1451.335403701944","0.25000000000000000000","0","2.0000000000000000","2","15.0833333333333333","0","0.25000000000000000000","51","1"
"101486","0.07692307692307693","0","0.25","0.07500000000000000000","0","1","0","1","995.681599782712","0.25000000000000000000","0","4.0000000000000000","2","24.3076923076923077","0","0.12500000000000000000","50","0"
"101961","0.08333333333333333","0.10000000000000000000","0.25","0.15000000000000000000","0","0","0","0","1366.5690966548455","0.62500000000000000000","0","8.0000000000000000","5","3.0000000000000000","0.0007269299462659393","0.62500000000000000000","43","2"
"106907","0.14285714285714285","0","0.125","0","0.5","0","0","1","12797.480540713883","0.25000000000000000000","0","13.0000000000000000","2","28.7142857142857143","0","0.25000000000000000000","44","10"
"118043","0.38461538461538464","0.11666666666666666667","0.25","0.20000000000000000000","0","0","0","1","2505.1651664071746","0.62500000000000000000","0","10.0000000000000000","5","28.8461538461538462","0","0.37500000000000000000","51","3"
"120851","0.07692307692307693","0","0.25","0.22500000000000000000","0","1","0","1","2259.7966681958487","0.12500000000000000000","0","12.0000000000000000","1","20.4615384615384615","0","0.12500000000000000000","51","0"
"125845","0.3076923076923077","0.05000000000000000000","0.1111111111111111","0.15000000000000000000","0","1","0","0","2861.519128720754","0.33333333333333333333","0","5.0000000000000000","3","23.4615384615384615","0.012412637624365216","0.33333333333333333333","39","2"
"133058","0.23076923076923078","0.05000000000000000000","0","0","0","0","0","0","2887.178515652686","0.12500000000000000000","0","4.0000000000000000","1","0.46153846153846153846","0","0.12500000000000000000","18","0"
"149058","0.08333333333333333","0","0.125","0.05000000000000000000","0","1","0","1","1959.8720315788992","0.62500000000000000000","0","12.0000000000000000","5","22.9166666666666667","0.0009722573562442766","0.62500000000000000000","50","2"
"152583","0.3","0.15000000000000000000","0.125","0.15000000000000000000","0","0","0","0","2265.716295635522","0.12500000000000000000","1","5.0000000000000000","1","45.6000000000000000","0","0.12500000000000000000","37","2"
"153982","0.18181818181818182","0.15000000000000000000","0","0","0","0","0","1","1343.6251935624966","0.37500000000000000000","0","3.0000000000000000","3","37.0000000000000000","0","0.37500000000000000000","45","1"
"160754","0.2","0","0","0","0","0","0","1","527.63183389388","0.12500000000000000000","0","4.0000000000000000","1","47.1000000000000000","0","0.12500000000000000000","45","1"
"164522","0.2","0.05000000000000000000","0.25","0.05000000000000000000","0","0","0","0","1807.646503324766","0.12500000000000000000","0","15.0000000000000000","1","49.3000000000000000","0.009081421599746632","0.12500000000000000000","47","1"
"167852","0.3076923076923077","0.10000000000000000000","0.125","0.10000000000000000000","0","0","0","0","0","0.00000000000000000000","0","0.000000000000000000000000","0","0.00000000000000000000","0","0.00000000000000000000","17","0"
"171470","0.2222222222222222","0","0.375","0.10000000000000000000","0.6666666666666666","0","0","0","17604.462972600577","0.37500000000000000000","0","15.0000000000000000","3","94.5555555555555556","0.005449849098833028","0.37500000000000000000","24","1"
"174997","0.4444444444444444","0.12500000000000000000","0.125","0","0.3333333333333333","0","0","0","3938.2118173381004","0.37500000000000000000","0","8.0000000000000000","3","31.0000000000000000","0","0.37500000000000000000","31","1"
"175032","0.21428571428571427","0.10000000000000000000","0.1111111111111111","0.30000000000000000000","0","0","0","0","1394.5441345457552","0.33333333333333333333","0","5.0000000000000000","3","1.2857142857142857","0","0.22222222222222222222","28","1"
"181157","0.2","0.15000000000000000000","0.25","0.17500000000000000000","0","0","0","0","1213.4574843739658","0.37500000000000000000","0","8.0000000000000000","3","40.0000000000000000","0.022086888370734428","0.37500000000000000000","53","3"
"182191","0.2222222222222222","0.10000000000000000000","0.125","0","1","0","0","1","1670.947440039294","0.12500000000000000000","0","16.0000000000000000","1","30.0000000000000000","0","0.12500000000000000000","18","1"
